priref,lref,soort,url,personen
232484,10662317,digital image,https://media.rkd.nl/iiif/10662317/full/max/0/default.jpg,"[{'nummer': '203533', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
232484,10662318,digital image,https://media.rkd.nl/iiif/10662318/full/max/0/default.jpg,"[{'nummer': '203533', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
233704,10902241,black-and-white reproduction,https://media.rkd.nl/iiif/10902241/full/max/0/default.jpg,[]
236850,10632527,BD/Digital Collection,https://media.rkd.nl/iiif/10632527/full/max/0/default.jpg,[]
236895,10632545,BD/Digital Collection,https://media.rkd.nl/iiif/10632545/full/max/0/default.jpg,[]
237827,10632546,BD/Digital Collection,https://media.rkd.nl/iiif/10632546/full/max/0/default.jpg,[]
237830,10632547,BD/Digital Collection,https://media.rkd.nl/iiif/10632547/full/max/0/default.jpg,[]
237836,10632550,BD/Digital Collection,https://media.rkd.nl/iiif/10632550/full/max/0/default.jpg,[]
238437,10635890,BD/Digital Collection,https://media.rkd.nl/iiif/10635890/full/max/0/default.jpg,[]
238438,10635891,BD/Digital Collection,https://media.rkd.nl/iiif/10635891/full/max/0/default.jpg,[]
239001,10636327,BD/Digital Collection,https://media.rkd.nl/iiif/10636327/full/max/0/default.jpg,[]
240435,10655439,digital image,https://media.rkd.nl/iiif/10655439/full/max/0/default.jpg,"[{'nummer': '205380', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
240838,10644910,BD/Digital Collection,https://media.rkd.nl/iiif/10644910/full/max/0/default.jpg,"[{'nummer': '134581', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
240839,10644909,BD/Digital Collection,https://media.rkd.nl/iiif/10644909/full/max/0/default.jpg,"[{'nummer': '200271', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
240864,10204984,black and white photograph,https://media.rkd.nl/iiif/10204984/full/max/0/default.jpg,"[{'nummer': '205415', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
242194,9333996,black-and-white reproduction,https://media.rkd.nl/iiif/9333996/full/max/0/default.jpg,"[{'nummer': '100200', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
242858,9136657,black and white photograph,https://media.rkd.nl/iiif/9136657/full/max/0/default.jpg,[]
243695,10640308,BD/Digital Collection,https://media.rkd.nl/iiif/10640308/full/max/0/default.jpg,"[{'nummer': '204791', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
244077,10640510,digital image,https://media.rkd.nl/iiif/10640510/full/max/0/default.jpg,"[{'nummer': '204817', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
244188,10640612,BD/Digital Collection,https://media.rkd.nl/iiif/10640612/full/max/0/default.jpg,"[{'nummer': '204822', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
244201,10640628,digital image,https://media.rkd.nl/iiif/10640628/full/max/0/default.jpg,"[{'nummer': '115186', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
