priref,lref,soort,url,personen
265788,10349143,digital black-and-white photograph,https://media.rkd.nl/iiif/10349143/full/max/0/default.jpg,[]
282473,47,digital image,https://media.rkd.nl/iiif/47/full/max/0/default.jpg,"[{'nummer': '207624', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
302327,10714247,digital image,https://media.rkd.nl/iiif/10714247/full/max/0/default.jpg,[]
303283,20,digital image,https://media.rkd.nl/iiif/20/full/max/0/default.jpg,[]
303402,24,digital image,https://media.rkd.nl/iiif/24/full/max/0/default.jpg,[]
303422,26,digital image,https://media.rkd.nl/iiif/26/full/max/0/default.jpg,[]
303542,48,digital image,https://media.rkd.nl/iiif/48/full/max/0/default.jpg,[]
303543,49,digital image,https://media.rkd.nl/iiif/49/full/max/0/default.jpg,[]
303559,51,digital image,https://media.rkd.nl/iiif/51/full/max/0/default.jpg,[]
303559,50,digital image,https://media.rkd.nl/iiif/50/full/max/0/default.jpg,[]
303561,52,digital image,https://media.rkd.nl/iiif/52/full/max/0/default.jpg,[]
