priref,artist_name,date,objectcat,lrefs_in_xml,reason
123915,"Beuning, Wim",1946,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
123916,"Dupuis, Toon",1892,sculpture,10783267,only excluded placeholder lrefs available: 10783267
123917,"Camphuis, J.",1933,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
123918,"Mierevelt, Michiel van",1634,painting,10783267,only excluded placeholder lrefs available: 10783267
123924,Anoniem,1600,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
123925,"Delff, Jacob Willemsz. (I)",1598,painting,10783267,only excluded placeholder lrefs available: 10783267
123926,Anoniem,1608,painting,10783267,only excluded placeholder lrefs available: 10783267
123929,Anoniem,1598,painting,10783267,only excluded placeholder lrefs available: 10783267
123930,Anoniem,1598,painting,10783267,only excluded placeholder lrefs available: 10783267
123948,"Valckert, Werner van den",1626,painting,10783267,only excluded placeholder lrefs available: 10783267
123961,"Constant Rebecque, Jan Daniël Cornelis Carel Willem de",1889,drawing (visual work),10771164,no image downloaded
123975,Anoniem,1647,painting,10783267,only excluded placeholder lrefs available: 10783267
123978,"Mieris, Frans van (II)",1723,painting,10783267,only excluded placeholder lrefs available: 10783267
123985,Anoniem,1550,painting,10783267,only excluded placeholder lrefs available: 10783267
123986,Anoniem,1550,painting,10783267,only excluded placeholder lrefs available: 10783267
123987,"Netscher, Caspar",1678,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
123990,"Ketel, Cornelis",1563,painting,10783267,only excluded placeholder lrefs available: 10783267
123996,"Keyser, Thomas de",1626,painting,10783267,only excluded placeholder lrefs available: 10783267
123998,Anoniem,1615,painting,10783267,only excluded placeholder lrefs available: 10783267
123999,Anoniem,1640,painting,10783267,only excluded placeholder lrefs available: 10783267
124007,"Pickenoy, Nicolaes Eliasz.",1625,painting,10783267,only excluded placeholder lrefs available: 10783267
124009,"Poel, Egbert Lievensz. van der",1660,painting,10783267,only excluded placeholder lrefs available: 10783267
124010,Anoniem,1599,painting,10783267,only excluded placeholder lrefs available: 10783267
124016,"Baen, Jan de",1650,painting,10783267,only excluded placeholder lrefs available: 10783267
124038,"Keyser, Thomas de",1639,painting,10783267,only excluded placeholder lrefs available: 10783267
124039,"Keyser, Thomas de",1640,painting,10783267,only excluded placeholder lrefs available: 10783267
124118,"Santvoort, Dirck Dircksz.",1637,painting,10783267,only excluded placeholder lrefs available: 10783267
124120,Anoniem,1590,painting,10783267,only excluded placeholder lrefs available: 10783267
124145,"Ravesteyn, Jan van",1631,painting,10783267,only excluded placeholder lrefs available: 10783267
124152,"Ravesteyn, Anthonie van",1642,painting,10783267,only excluded placeholder lrefs available: 10783267
124183,"Israëls, Jozef",1839,painting,10783267,only excluded placeholder lrefs available: 10783267
124185,"Bobeldijk, Félicien",1891,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
124190,"Mierevelt, Michiel van",1613,painting,10783267,only excluded placeholder lrefs available: 10783267
124269,"Anspach, Johannes",1767,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
124270,"Anspach, Johannes",1767,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
124272,"Jelgerhuis, Rienk",1800,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
124314,"Tischbein, Johann Friedrich August",1790,painting,10783267,only excluded placeholder lrefs available: 10783267
124333,"Arntzenius, Floris",1879,painting,10783267,only excluded placeholder lrefs available: 10783267
124343,Anoniem,1785,unknown,10783267,only excluded placeholder lrefs available: 10783267
124362,"Court, Martinus de la",1698,painting,10783267,only excluded placeholder lrefs available: 10783267
124429,"Moreelse, Paulus",1586,painting,10783267,only excluded placeholder lrefs available: 10783267
124457,Anoniem,1818,painting,10783267,only excluded placeholder lrefs available: 10783267
124479,"Siebert, Heinrich (II)",1865,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
124509,Anoniem,1650,painting,10783267,only excluded placeholder lrefs available: 10783267
124512,Anoniem,1650,painting,10783267,only excluded placeholder lrefs available: 10783267
124561,Anoniem,1697,painting,10783267,only excluded placeholder lrefs available: 10783267
124626,"Maes, Nicolaes",1688,painting,10783267,only excluded placeholder lrefs available: 10783267
124631,"Veenendaell, Thomas van",1663,painting,10783267,only excluded placeholder lrefs available: 10783267
124637,Anoniem,1603,painting,10783267,only excluded placeholder lrefs available: 10783267
124647,"Pourbus, Frans (II)",1599,painting,10783267,only excluded placeholder lrefs available: 10783267
124658,Anoniem,1629,painting,10783267,only excluded placeholder lrefs available: 10783267
124664,"Cuyp, Aelbert",1635,painting,10783267,only excluded placeholder lrefs available: 10783267
124676,"Honthorst, Gerard van",1649,painting,10783267,only excluded placeholder lrefs available: 10783267
124691,"Thopas, Johannes",1635,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
124696,"Bloemaert, Hendrick",1625,unknown,10783267,only excluded placeholder lrefs available: 10783267
124698,Anoniem,1630,painting,10783267,only excluded placeholder lrefs available: 10783267
124714,Anoniem,1632,painting,10783267,only excluded placeholder lrefs available: 10783267
124717,"Pietersz., Aert",1604,painting,10783267,only excluded placeholder lrefs available: 10783267
124719,Anoniem,1633,painting,10783267,only excluded placeholder lrefs available: 10783267
124720,Anoniem,1655,painting,10783267,only excluded placeholder lrefs available: 10783267
124744,Anoniem,1683,painting,10783267,only excluded placeholder lrefs available: 10783267
124745,Anoniem,1618,painting,10783267,only excluded placeholder lrefs available: 10783267
124748,Anoniem,1597,painting,10783267,only excluded placeholder lrefs available: 10783267
124763,"Blijhooft, Zacharias",1654,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
124764,Anoniem,1634,painting,10783267,only excluded placeholder lrefs available: 10783267
124766,"Thopas, Johannes",1664,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
124782,Anoniem,1628,painting,10783267,only excluded placeholder lrefs available: 10783267
124783,Anoniem,1575,painting,10783267,only excluded placeholder lrefs available: 10783267
124835,Anoniem,1627,painting,10783267,only excluded placeholder lrefs available: 10783267
124836,Anoniem,1627,painting,10783267,only excluded placeholder lrefs available: 10783267
124844,Anoniem,1607,painting,10783267,only excluded placeholder lrefs available: 10783267
124845,Anoniem,1607,painting,10783267,only excluded placeholder lrefs available: 10783267
124866,"Netscher, Caspar",1676,painting,10783267,only excluded placeholder lrefs available: 10783267
124870,"Wieringa, Harmen Willems",1640,painting,10783267,only excluded placeholder lrefs available: 10783267
124883,"Cuyp, Jacob Gerritsz.",1643,painting,10783267,only excluded placeholder lrefs available: 10783267
124892,Anoniem,1639,painting,10783267,only excluded placeholder lrefs available: 10783267
124893,"Ketel, Cornelis",1578,painting,10783267,only excluded placeholder lrefs available: 10783267
124894,Monogrammist W,1647,painting,10783267,only excluded placeholder lrefs available: 10783267
124896,Anoniem,1632,painting,10783267,only excluded placeholder lrefs available: 10783267
124898,"Teixeira de Mattos, Henri",1871,sculpture,10783267,only excluded placeholder lrefs available: 10783267
124921,"Craeyvanger, Gijsbertus",1825,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
124922,"Noorde, Cornelis van",1750,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
124923,"Caspari, Hendrik Willem",1785,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
124948,Anoniem,1842,drawing (visual work),10783267,only excluded placeholder lrefs available: 10783267
125009,Anoniem,1641,painting,10783267,only excluded placeholder lrefs available: 10783267
125016,"Lubbers, Wessel",1809,portrait miniature,10783267,only excluded placeholder lrefs available: 10783267
125055,"Palamedes, Anthonie",1634,painting,10783267,only excluded placeholder lrefs available: 10783267
125074,"Pickenoy, Nicolaes Eliasz.",1614,painting,10783267,only excluded placeholder lrefs available: 10783267
125075,"Attama, J.",1655,painting,10783267,only excluded placeholder lrefs available: 10783267
125076,Anoniem,1627,painting,10783267,only excluded placeholder lrefs available: 10783267
125077,Anoniem,1644,painting,10783267,only excluded placeholder lrefs available: 10783267
125078,Anoniem,1541,painting,10783267,only excluded placeholder lrefs available: 10783267
125082,"Donck, Gerard",1633,painting,10783267,only excluded placeholder lrefs available: 10783267
125085,"Mierevelt, Michiel van",1629,painting,10783267,only excluded placeholder lrefs available: 10783267
125087,"Beckx, Jaspar",1630,painting,10783267,only excluded placeholder lrefs available: 10783267
125090,Anoniem,1649,painting,10783267,only excluded placeholder lrefs available: 10783267
125091,Anoniem,1615,painting,10783267,only excluded placeholder lrefs available: 10783267
125092,"Mierevelt, Michiel van",1610,painting,10783267,only excluded placeholder lrefs available: 10783267
125093,"Vries, Abraham de",1628,painting,10783267,only excluded placeholder lrefs available: 10783267
125094,"Jonson van Ceulen, Cornelis (I)",1652,portrait miniature,10783267,only excluded placeholder lrefs available: 10783267
125095,"Jonson van Ceulen, Cornelis (I)",1652,portrait miniature,10783267,only excluded placeholder lrefs available: 10783267
125096,Anoniem,1647,painting,10783267,only excluded placeholder lrefs available: 10783267
125099,Anoniem,1929,painting,10783267,only excluded placeholder lrefs available: 10783267
125100,"Ravesteyn, Jan van",1635,painting,10783267,only excluded placeholder lrefs available: 10783267
125101,Anoniem,1650,painting,10783267,only excluded placeholder lrefs available: 10783267
125114,Anoniem,1629,painting,10783267,only excluded placeholder lrefs available: 10783267
125129,Anoniem,1632,painting,10783267,only excluded placeholder lrefs available: 10783267
125132,Anoniem,1650,painting,10783267,only excluded placeholder lrefs available: 10783267
125170,Peinture H. Bogaerts,1880,portrait miniature,10783267,only excluded placeholder lrefs available: 10783267
125209,"Man, Cornelis de",1659,painting,10783267,only excluded placeholder lrefs available: 10783267
125217,"Horemans, Jan Josef (I)",1720,painting,10783267,only excluded placeholder lrefs available: 10783267
125228,Anoniem,1659,painting,10783267,only excluded placeholder lrefs available: 10783267
125229,"Luttichuys, Isaack",1651,painting,10783267,only excluded placeholder lrefs available: 10783267
125230,"Tempel, Abraham van den",1663,painting,10783267,only excluded placeholder lrefs available: 10783267
125231,"Dupuis, Toon",1892,relief,10783267,only excluded placeholder lrefs available: 10783267
125232,"Geest, Wybrand de (I)",1627,painting,10783267,only excluded placeholder lrefs available: 10783267
125258,"Meer, Adriaen ter (II)",1635,painting,10783267,only excluded placeholder lrefs available: 10783267
125259,"Meer, Adriaen ter (II)",1640,painting,10783267,only excluded placeholder lrefs available: 10783267
125278,"Pickenoy, Nicolaes Eliasz.",1643,unknown,10783267,only excluded placeholder lrefs available: 10783267
125288,Anoniem,1830,drawing (visual work),10771166,no image downloaded
125311,"Pander, Pier",1893,sculpture,10783267,only excluded placeholder lrefs available: 10783267
125313,"Pieneman, Jan Willem",1794,painting,10783267,only excluded placeholder lrefs available: 10783267
125324,Geldorp Gortzius,1613,painting,10783267,only excluded placeholder lrefs available: 10783267
125325,"Honthorst, Gerard van",1643,painting,10783267,only excluded placeholder lrefs available: 10783267
