recordnummer,oorspronkelijke_bestandsnaam
10771085,noimg00090
10771086,noimg00091
10771087,noimg00092
10771088,noimg00093
10771090,noimg00095
10771091,noimg00096
10771093,noimg00098
10771094,noimg00099
10771095,noimg00100
10771097,noimg00102
10771099,noimg00104
10771102,noimg00107
10771103,noimg00108
10771104,noimg00109
10771106,noimg00111
10771108,noimg00113
10771109,noimg00114
10771113,noimg00118
10771114,noimg00119
10771119,noimg00124
10771120,noimg00125
10771142,noimg00147
10771146,noimg00151
10771147,noimg00152
10771149,noimg00154
10771150,noimg00155
10771164,0000199669
10771165,0000251151
10771166,0000199668
10771170,IB00025945
10771172,0000199686
10771173,0000254704
10771175,0000255247
10786481,IB00116265A
10786626,IB01014053A
10790817,1001246698
10790818,1001246699
10803127,1001340461
10803744,0001533787
10803745,0001533808
10803746,0001533815
10816396,1001727821
10816397,1001727828
10816398,1001727829
10816400,1001727831
10816418,1001727861
10816429,1001727874
10816485,1001727994
10816594,1001728132
10816595,1001728133
10841726,1001753625
10848988,0001785896
10849006,0001785914
10849007,0001785915
10849012,0001785920
10853245,1001765346
10869795,1001782037
10876825,1001789223
10899591,2010899591
10899867,2010899867
10900238,2010900238
10900505,2010900505
10900747,2010900747
10900856,2010900856
10901303,2010901303
10901381,2010901381
10901413,2010901413
10901415,2010901415
10901620,2010901620
10901742,2010901742
10901759,2010901759
10901890,2010901890
10901949,2010901949
10901950,2010901950
10901951,2010901951
10902241,2010902241
10902278,2010902278
10902388,2010902388
10902390,2010902390
10902850,2010902850
10904941,2010904941
10905295,2010905295
10937520,2010937520
10999555,2010999555
11083060,2011083060
11097921,2011097921
11098080,2011098080
11098499,2011098499
11102662,2011102662
11109992,2011109992
11112111,2011112111
11114730,2011114730
11114731,2011114731
11114783,2011114783
11115464,2011115464
11118499,2011118499
11118753,2011118753
11118783,2011118783
11118794,2011118794
11190723,2011190723
11190787,2011190787
11190805,2011190805
11191006,2011191006
11191087,2011191087
